<img src="北海道.png">	北海道<br><img src="alljapan.svg"><br>[sound:北海道.mp3]
<img src="青森県.png">	青森県<br><img src="alljapan.svg"><br>[sound:青森県.mp3]
<img src="岩手県.png">	岩手県<br><img src="alljapan.svg"><br>[sound:岩手県.mp3]
<img src="宮城県.png">	宮城県<br><img src="alljapan.svg"><br>[sound:宮城県.mp3]
<img src="秋田県.png">	秋田県<br><img src="alljapan.svg"><br>[sound:秋田県.mp3]
<img src="山形県.png">	山形県<br><img src="alljapan.svg"><br>[sound:山形県.mp3]
<img src="福島県.png">	福島県<br><img src="alljapan.svg"><br>[sound:福島県.mp3]
<img src="茨城県.png">	茨城県<br><img src="alljapan.svg"><br>[sound:茨城県.mp3]
<img src="栃木県.png">	栃木県<br><img src="alljapan.svg"><br>[sound:栃木県.mp3]
<img src="群馬県.png">	群馬県<br><img src="alljapan.svg"><br>[sound:群馬県.mp3]
<img src="埼玉県.png">	埼玉県<br><img src="alljapan.svg"><br>[sound:埼玉県.mp3]
<img src="千葉県.png">	千葉県<br><img src="alljapan.svg"><br>[sound:千葉県.mp3]
<img src="東京都.png">	東京都<br><img src="alljapan.svg"><br>[sound:東京都.mp3]
<img src="神奈川県.png">	神奈川県<br><img src="alljapan.svg"><br>[sound:神奈川県.mp3]
<img src="新潟県.png">	新潟県<br><img src="alljapan.svg"><br>[sound:新潟県.mp3]
<img src="富山県.png">	富山県<br><img src="alljapan.svg"><br>[sound:富山県.mp3]
<img src="石川県.png">	石川県<br><img src="alljapan.svg"><br>[sound:石川県.mp3]
<img src="福井県.png">	福井県<br><img src="alljapan.svg"><br>[sound:福井県.mp3]
<img src="山梨県.png">	山梨県<br><img src="alljapan.svg"><br>[sound:山梨県.mp3]
<img src="長野県.png">	長野県<br><img src="alljapan.svg"><br>[sound:長野県.mp3]
<img src="岐阜県.png">	岐阜県<br><img src="alljapan.svg"><br>[sound:岐阜県.mp3]
<img src="静岡県.png">	静岡県<br><img src="alljapan.svg"><br>[sound:静岡県.mp3]
<img src="愛知県.png">	愛知県<br><img src="alljapan.svg"><br>[sound:愛知県.mp3]
<img src="三重県.png">	三重県<br><img src="alljapan.svg"><br>[sound:三重県.mp3]
<img src="滋賀県.png">	滋賀県<br><img src="alljapan.svg"><br>[sound:滋賀県.mp3]
<img src="京都府.png">	京都府<br><img src="alljapan.svg"><br>[sound:京都府.mp3]
<img src="大阪府.png">	大阪府<br><img src="alljapan.svg"><br>[sound:大阪府.mp3]
<img src="兵庫県.png">	兵庫県<br><img src="alljapan.svg"><br>[sound:兵庫県.mp3]
<img src="奈良県.png">	奈良県<br><img src="alljapan.svg"><br>[sound:奈良県.mp3]
<img src="和歌山県.png">	和歌山県<br><img src="alljapan.svg"><br>[sound:和歌山県.mp3]
<img src="鳥取県.png">	鳥取県<br><img src="alljapan.svg"><br>[sound:鳥取県.mp3]
<img src="島根県.png">	島根県<br><img src="alljapan.svg"><br>[sound:島根県.mp3]
<img src="岡山県.png">	岡山県<br><img src="alljapan.svg"><br>[sound:岡山県.mp3]
<img src="広島県.png">	広島県<br><img src="alljapan.svg"><br>[sound:広島県.mp3]
<img src="山口県.png">	山口県<br><img src="alljapan.svg"><br>[sound:山口県.mp3]
<img src="徳島県.png">	徳島県<br><img src="alljapan.svg"><br>[sound:徳島県.mp3]
<img src="香川県.png">	香川県<br><img src="alljapan.svg"><br>[sound:香川県.mp3]
<img src="愛媛県.png">	愛媛県<br><img src="alljapan.svg"><br>[sound:愛媛県.mp3]
<img src="高知県.png">	高知県<br><img src="alljapan.svg"><br>[sound:高知県.mp3]
<img src="福岡県.png">	福岡県<br><img src="alljapan.svg"><br>[sound:福岡県.mp3]
<img src="佐賀県.png">	佐賀県<br><img src="alljapan.svg"><br>[sound:佐賀県.mp3]
<img src="長崎県.png">	長崎県<br><img src="alljapan.svg"><br>[sound:長崎県.mp3]
<img src="熊本県.png">	熊本県<br><img src="alljapan.svg"><br>[sound:熊本県.mp3]
<img src="大分県.png">	大分県<br><img src="alljapan.svg"><br>[sound:大分県.mp3]
<img src="宮崎県.png">	宮崎県<br><img src="alljapan.svg"><br>[sound:宮崎県.mp3]
<img src="鹿児島県.png">	鹿児島県<br><img src="alljapan.svg"><br>[sound:鹿児島県.mp3]
<img src="沖縄県.png">	沖縄県<br><img src="alljapan.svg"><br>[sound:沖縄県.mp3]
